Id,SalePrice
2658,134366.28847484558
2718,168759.81521539215
2414,215034.16570355784
1989,110983.31993834264
625,185413.46076716154
333,93875.74196976596
1327,115602.04283659883
858,152472.11143654387
95,177534.85235089596
1568,162527.1815565192
2482,148059.64800943236
1364,120258.61152566163
2584,150339.33779091563
818,255120.82074841298
2673,156176.55683474857
2089,118385.37260012783
1297,159473.25492789986
790,118774.90931037486
2616,192731.4408394691
720,169879.01269682328
222,154693.8792775862
557,125474.88840852774
1148,195281.2011334914
2766,177022.5176210719
534,172796.72765742475
1452,117569.26616254222
630,136557.35784801524
2648,120198.69138917554
125,163370.83509863899
1904,71931.05797264096
1670,110744.17890250408
756,102576.04745437323
717,190732.83970234555
1032,156572.9842589918
852,212136.0256664371
1731,182556.9687403606
2639,133978.08485133582
2071,67800.07126893871
1267,109935.17597416528
1851,177287.23158425302
567,168231.4280035543
2439,202722.06524924227
1898,149447.87523834454
647,170198.7459827345
2256,204501.80344192762
979,107924.04978111113
1444,216446.9975625293
2485,120783.1118171076
157,138002.45514482327
88,128709.55364959365
2003,110861.74343974961
186,204857.45336306948
1425,236137.62988776987
2695,132423.61083273447
738,106908.77872007665
395,153602.2795105214
1353,164858.23072350485
1878,142484.1897031318
390,155006.45482538117
1456,234799.69071419915
1103,312593.81054200884
1387,117873.61296809507
2070,162274.47930355716
1199,167968.7965399667
2479,173608.3831101237
501,322187.61062228784
2362,95729.76402278472
1718,200509.5524433691
2188,95051.26958771248
1483,156746.99226374185
2557,91076.05755132368
437,341562.8774290477
2224,200485.24698334892
1628,164141.85235980878
397,143137.1336978714
587,200064.51937732426
2182,626051.9596881388
971,137286.23140742484
2611,142405.2736346966
1887,91356.31485186233
2399,384551.60638656537
2148,189258.3827142687
304,125823.83570679446
1997,135230.6692119351
2817,117734.76211581656
1431,206948.09805779642
427,349501.1302156916
263,118696.21893156946
598,177231.46087438034
2895,219817.77364974958
687,127672.85343617616
1822,133372.91019345203
2191,114867.21135197552
179,125210.55859699319
1009,219939.91742188545
2010,131072.2071311797
